"HolderAddress","Balance","PendingBalanceUpdate"
"0xbc7860e6a677e2195a46555b8af24d9b1e3f90fd","3194180282932100000000000000000","No"
"0x8ec49df3654d2a9c923b4b90751e9b1e92a809a0","5000000000000","No"
"0x9656b113b4f54102d232fa5d87d1f13f5c522dac","4759441875416645952935131215074","No"
"0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c","3000000000000","No"
"0x03ed41c899331da0922477841bd36ad30b04588f","212370676598307","No"
"0x548e03c19a175a66912685f71e157706fee6a04d","10000000000","No"
"0x0f226b153eba8c13aa8361eba8f88a334bab92a0","10830715105775861438482223056865","No"
"0x21f744350ea334f2f254cd86e8915e2b382d12e8","285630228552722484616479295174","No"
"0x1bb80d8343f256c108f62a6cdaf29a73a303c198","241702638229222694087797398189","No"
"0x6c890ef4a71435695b8701cc69008fe5ac441f26","2000618992885","No"
"0x56d62646257097a029a1649dcb448257584c7954","231777314369","No"
"0xa81ebbf718f5848146d10831a57772ec10416f60","1","No"
"0x93cd77a3e4c708f1c72d6028a23fbc4f28dd11c4","77167030424926402159706605720","No"
"0x50d960d35782fb330499f8e45ff5034ddd1c2ecc","45107671369371098732069177941","No"
"0xb34464320a2b74d37c64d3311a3e163c2120e2ec","2188078492085","No"
"0xcb8f788f81ad81d73dcdd1aec67969c660e46d20","244777314369","No"
"0xcc6b9677ea005ebd8fb39d1e7efb46fd3d4ea5c3","149974339783286","No"
"0x38ef44b5ac9ab6eca8df8b243cac9395b2c19157","244777314369","No"
"0xd0adfcaeaf17ca81917385bb66df9c44f21b629a","244777314369","No"
"0xd4d577fb83cb5a46fb23a957182fc843b2d0e44c"," 947626318723625250391434312248","No"
"0x354c9a4277343e8149d816c8995a826cfed84d10","33034338304","No"
"0x2d86f98c7aa1a3e6561413700eb9e9f54e66b28e","13031379584266","No"
"0x38f15f233e51e400c5caeb2aab15c6a0f264eb09","24232954112531","No"
"0xf95dfa8bd12360d096c5c39c5519e6f5f1a3900d","256343408115647","No"
"0x211a7a5d17f9fa27a579448007a0576ff565999d","24232954122531","No"
"0x18cfe916fbf8be5229ceff7565ca352242a1f6f0","044365167045375","No"
"0x1a3884bf3372c77f04c798aeaa037cb173288b48","244777314369","No"
"0x2b72715d7f6a1fbe7faa3fdda7da05b2a59084d2","244777314369","No"
"0x47a4b0b7d55926f6ac371c8aeb718f91c8f440aa","23988176808162","No"
"0xdecb7d6e9d29520b19b9c3b8ff007087fa7814f5","213311704551655","No"
"0x3fe4c16a05651d2c54b362114bde035152b6ff40","244627314369","No"
"0xfdb766ea1d0a9bfdfcb41c511a2b94af61b19f52","45","No"
"0xba94fff7ea4c119cd05a94d537d672870649e3b6","100","No"
"0x4fd20bdfd1c8424f67beacdd21688b4d3a64e5bc","14441861547771","No"
"0x760327d1e3d2cb4fda122832072a86bb7c1922e4","7220930773871","No"
"0xe1188412d4c2f668dd96f326b9d9e902c9cdf8ce","244777314869","No"
"0x35e78de940e1889e29433647322d43b91b56544b","7220930773971","No"
"0x3d161746fd0f524d87c94964bcbc2e18f07c7953","14441861547771","No"
"0x3b16693a64440da56926061b7504f090ee4427f1","24232954122531","No"
"0x8e8d3d383090acd13681c7e73c1bc443669b0c9a","717293432970726","No"
"0x95c9734fa621b3ce294f934d9690eac934048df3","14441861547771","No"
"0xb0e0b8e7a3243f1be4d2ec9ccc471d2886257e43","24232954122531","No"
"0x00000000bb52bdec44c4e585be6df5d27e32f865","000000000000000001","No"
"0x798b0a32b5d2fb03b981c44256b1d214c645575a","285827386568545","No"
"0x8edeebb20c6256b100c915c5d0dc78539a865a10","24232954122531","No"
"0x7db096ef18416705b83fbc89b887764056c0cfe1","273085510532331","No"
"0xe8ddd3bc1a2dec7f4a2ddb096d6243c8de93d0b6","286629073156615","No"
"0xdf533efefe327df09429de954f63e36cd005d8e5","135843123860417","No"
"0x83b3da61b51b1db56d6b743fe94402e17edb337c","271805311959697","No"
"0x560bb5be248b498998e82d7f1be093048da8df28","271797392690542","No"
"0x201cc5c42a75b1fa7095f5a36651ae9d97948d35","14441861547771","No"
"0x03f16951cc21ace6614e0d4d23259a27f477822a","2957916237156","No"
"0x1f29bde65323af89dc36abf5973780c136357a5c","195001468663886","No"
"0x74585702d2344b08a3d21079db50371941cfb8ef","268409287825561","No"
"0x29bbd43a3f15adefb58ba656f3c09244b5b3dfed","14441861547771","No"
"0xdeafdeab0b787848dbd64359cf8b19f8b847b06a","2032995829271","No"
"0x7602e7a3cc682098e778c4ab574b469e9f3e08c7","195001468663886","No"
"0x50ffc7cc88ba9d8e8a3d2780d889d1e2a37b671a","14441861547771","No"
"0x18d09d321a9e61b7c797cb080b6e7b48d4bbd20e","37475197255681000000000000006","No"
"0x5d2d469e89d000ce0b0171911e7dca5e61059e5c","14441861547771","No"
"0x22319bbab0016b1f5527dc1ec0d260dbffb68031","467205194804988","No"
"0x4fba41735b91063c027dfca57622300d9ca80d59","1","No"
"0x48164adbad6b476c05621e95a4cdc0194ee94d82","226988877209279","No"
"0xb10725e0bef17e4497f76b3902995e0b71ae8129","78866633195521000000000000006","No"
"0x310959afd60e8f92f55283194dcda77495e7d748","14441861547771","No"
"0x9da1baa9883bc366d7a994482a295e31ea7bd961","24232954122531","No"
"0x7a845878ad796b18b1b1991f3a9ad76df38f4c09","0572918","No"
"0x0dcd8f55926af445368645b76ed3f7824c114db6","14441861547771","No"
"0x0f1477836f33136e50a65d8f9c5bb5d681023eb3","244777314369","No"
"0x5c4690b00138b8704e57842e8fca01f9cbc152ff","78866633195521000000000000006","No"
"0x6528d412ee4344e8125be7100a6e54d77f58a640","94189457863681000000000000006","No"
"0xa8e9217f28384577d12f41593d3fa3cfe004338f","249362583862099","No"
"0x8fce7cc62672207310bbef2c6f8087348463be5c","244777314369","No"
"0x535f81890ce59787edde908f23c8ac49a94916a9","78866633195521000000000000006","No"
"0xc06ad6130144f12b3923216caa54c834bb2cc7e6","259896699308421","No"
"0xb4c037df1339b41fdff6852a3631840e0c13fffa","244777314369","No"
"0xc7c64a1c1ccce5f2e54cf858ad0eeab5a7d0b1e9","244777314369","No"
"0x38114b37a551d71eb8d950807d4eb77676bddd13","244777314369","No"
"0xf140b906f17c6bc13fc3ee6dd0ca62428770a8cd","244777314369","No"
"0x389d21003642e0ba562ede4031c6eb36e9f365c7","244777314369","No"
"0xb6fe97afa4b2e07e8d91aee09413aebe5db4ba1f","244777314369","No"
"0xe403d5cf50b55a041d806c18a5c64a4900d1f0a8","328559093101241","No"
"0xa605d753c9b17d5e2a74d6c24d33e1f46fa502d5","245162128444038","No"
"0xaea04c3afa0b61b12c69c7e787e6d4d2e53a8ebf","909352274469684","No"
"0x75562fa1bca0a50fddbd0aaa1968b501f96e0b63","2494757150721000000000000006","No"
"0xcd0493dac0be068aee664b1f58f0f6e114f7e00b","244777314369","No"
"0x816ce1f9c5bd8384948fae6d3483bf0ddfceb7d5","244777314369","No"
"0xc0303c139af3a94aaf502c5dd3d4ba344151635d","1458663886214","No"
"0x5904b0c91dd350dffac3b296bdce1c2487955fd4","244777314369","No"
"0xf774644b13ebe9b3a3a78a2eddd2ad1e31eb3150","244777314369","No"
"0x1a5ca88eae9132c6ee3dd3bef62a73a354d3edaf","100000000000765","No"
"0x83fd068d2c7abf6020e254da149a30cf4b0c9c91","2202995829321","No"
"0xe321b4cd45171db9ce786aafe31199e88b0e1ad9","244777314369","No"
"0x66734ed81529f4897a06d68ba1b10cbae308ad15","923459599827008","No"
"0xed8c82827aa0c50819c12f45187dc2152d77b8d9","244777314369","No"
"0x14124e520a362e791cdfd2b0f9851cc75cba3031","244777314369","No"
"0xdb9db3ea2aba848764e8105e1801d9b0651d577c","753050456252715","No"
"0x0408c0acf165d811b3c07ab29dcf973c40c31c5b","244777314369","No"
"0xac973d627b938c76741d99b025b351bdca458925","244777314369","No"
"0x6581543ad058d8f9956df64fe90902416f05d6b1","244777314369","No"
"0x65d2ccc6f654b0b23e2f9f01377db7cc4fcc1d1b","244777314369","No"
"0x7501c73cd14ca799754f3cb8d51bbd52bace7b7c","244777314369","No"
"0x59dcec9563a095383a1793b6e2f91363592a32d9","751975006480569","No"
"0xc5caca81022465a1cc007e6ec40ffb871d437b0a","78866633195521000000000000006","No"
"0x7260a240d70b86fb645c07baa67a9852a4387387","12123966634568","No"
"0x4f40454206dc2ec0d8fcc084fbb6221f9415901c","744925316949842","No"
"0x3452eed3d9a6dc0e5117f865ba49db7af6040f5e","386527933352338","No"
"0x5651d34f2e48d95cd36ea8289a2125c827b2dc66","138284565648364","No"
"0x67d6b5144341eeb3e78192529aab451a6b3bf63c","2582120843331000000000000006","No"
"0x028485f9aea0a2efbb678ba14c43a4519fd39966","244777314369","No"
"0xf33b9989315a18d14d9884d395daee71430e2e57","78866633195521000000000000006","No"
"0x7d208df4c55c2b055ac5621845e73fb5f6df69ac","244777314369","No"
"0x9e6f8c908615084e75ee11e3b579c4fe91fd12e0","279163065896904","No"
"0xace37ec918167c1b54a7ef37011c2438f307f848","191753206798067","No"
"0xdccf45b2ad4eb71caf3ad58abc11ad2584e54a80","78866633195521000000000000006","No"
"0xb6bfa7ad557bfaa4feaf46362ef238722e89797a","244777314369","No"
"0xba7b6240c3113bd8c403c6f7c17d15c3933d55b0","390206116189158","No"
"0xf868cd3fd1e10f9d2cd0ee5b32f9e14dc7c08cac","244777314369","No"
"0xa2b14effe262f2492de9a925117334cf673b30cc","244777314369","No"
"0xd7e538a48bb34c3d55a40e1508c641af55d9db9e","244777314369","No"
"0xb9a9aa70534f8c8c2b78ec8ac2d96267ce3a2fba","11407271569802","No"
"0xba6df71023ace00e573e3a60d4195eafcac1e832","244777314369","No"
"0x8371b0673c18d91f62b20051b797f08505bda2da","78866633195521000000000000006","No"
"0xe1800ec178c7a0425a966960a25f6b2b6c2f1276","49639167004271","No"
"0x965be115e98cf35a55f4400da34d17e8b9949573","244777314369","No"
"0x73c1edc223e71f156aa0d4c82c105c23a953ae52","244777314369","No"
"0x6ed3ed866d9c6647392c65f0b0f31dfb66c9897c","244777314369","No"
"0x7b3f7ec7b629fbb20da90eadd2c9d8ed9fd589f9","242055390633217","No"
"0x937c5a7c3ca4236c965ef4976381b2c0be99b9d9","244777314369","No"
"0x7d7b980feae81f2e01ad4438ad3abe01ab8dc7d8","2900000000","No"
"0xd6890b6b5152d94c365150e92e86426bc13fc9df","14441861547771","No"
"0xab88be7578eb308bd69317f4c7cbf28fcdfbebd8","244777314369","No"
"0xa7ab293a49be8266aa86b9fbca5b19811cd1da33","58999999000","No"
"0xe7f65aa2459799f2e69bcd3681729eee139cedfd","244777314369","No"
"0x0369756870e6be0ebe8b06b012a51545a2415963","79226106019841000000000000006","No"
"0xeec8da11b99942863b6b2a79cea75fa743c5be7d","600053605936242","No"
"0x32275e5af3b01573d4ce08594b436d43a82545fe","244777314369","No"
"0xf16ea4886e431dae683b3d136987203d8e8b22f6","14441861547771","No"
